ad_id,variant,campaign_name,audience_type,product_type,impressions,clicks,spend_idr,sessions,add_to_cart,total_revenue,total_transactions,CTR,CPC,ROAS,conversion_rate
AD_0040,Static_Catalog,Flash Sale Campaign,cold,Sunscreen,9465,114,445757.0,91,9,499000.0,2,0.012044374009508717,3910.1491228070176,1.1194440020010903,0.017543859649122806
AD_0041,Static_Catalog,Flash Sale Campaign,cold,Cleanser,15308,137,494366.0,119,13,1547000.0,5,0.008949568852887379,3608.5109489051097,3.1292605073973534,0.0364963503649635
AD_0042,Video_Review,Retargeting Campaign,warm,Serum,12805,242,120056.0,209,19,0.0,0,0.018898867629832096,496.099173553719,0.0,0.0
AD_0043,Static_Catalog,Awareness Campaign,cold,Sunscreen,17486,152,167215.0,124,8,0.0,0,0.008692668420450645,1100.0986842105262,0.0,0.0
AD_0044,Static_Catalog,Awareness Campaign,cold,Serum,9141,133,291475.0,108,5,0.0,0,0.014549830434306969,2191.5413533834585,0.0,0.0
AD_0045,Video_Review,Retargeting Campaign,warm,Cleanser,14421,346,388790.0,278,53,1012000.0,5,0.023992788294847793,1123.670520231214,2.6029476066771267,0.014450867052023121
AD_0046,Video_Review,Retargeting Campaign,warm,Cleanser,16823,510,109540.0,442,62,1220000.0,3,0.03031563930333472,214.7843137254902,11.137484024100786,0.0058823529411764705
AD_0047,Video_Review,Flash Sale Campaign,cold,Serum,8687,240,111938.0,207,24,0.0,0,0.027627489351905146,466.40833333333336,0.0,0.0
AD_0048,Video_Review,Flash Sale Campaign,cold,Sunscreen,12536,341,182986.0,279,16,150000.0,1,0.027201659221442246,536.6158357771261,0.819734843102751,0.002932551319648094
AD_0049,Static_Catalog,Flash Sale Campaign,cold,Serum,7082,76,2305428.0,63,11,1623000.0,5,0.010731431798926857,30334.57894736842,0.7039907557295219,0.06578947368421052
AD_0050,Static_Catalog,Retargeting Campaign,warm,Serum,10267,137,400657.0,118,21,0.0,0,0.013343722606408882,2924.5036496350367,0.0,0.0
AD_0051,Video_Review,Awareness Campaign,cold,Moisturizer,12988,373,409439.0,319,50,877000.0,3,0.028718817369879888,1097.6916890080429,2.141955211887485,0.00804289544235925
AD_0052,Video_Review,Retargeting Campaign,warm,Moisturizer,14357,372,406955.0,313,50,0.0,0,0.02591070557915999,1093.965053763441,0.0,0.0
AD_0053,Video_Review,Awareness Campaign,cold,Sunscreen,15787,471,219180.0,418,45,429000.0,1,0.02983467409894217,465.3503184713376,1.9572953736654803,0.0021231422505307855
AD_0054,Video_Review,Awareness Campaign,cold,Moisturizer,17011,540,295967.0,458,56,345000.0,2,0.03174416553994474,548.087037037037,1.1656704970486576,0.003703703703703704
AD_0055,Video_Review,Awareness Campaign,cold,Moisturizer,12588,362,422710.0,317,21,590000.0,2,0.028757546870034952,1167.707182320442,1.395755955619692,0.0055248618784530384
AD_0056,Static_Catalog,Awareness Campaign,cold,Serum,14330,211,464778.0,183,35,0.0,0,0.014724354501046755,2202.739336492891,0.0,0.0
AD_0057,Static_Catalog,Awareness Campaign,cold,Serum,10293,138,139081.0,115,21,371000.0,3,0.013407169921305742,1007.8333333333334,2.6675102997533813,0.021739130434782608
AD_0058,Video_Review,Retargeting Campaign,warm,Moisturizer,18911,437,257504.0,388,33,0.0,0,0.023108243879223733,589.254004576659,0.0,0.0
AD_0059,Video_Review,Flash Sale Campaign,cold,Moisturizer,14419,270,303196.0,226,35,921000.0,2,0.018725293016159234,1122.9481481481482,3.0376390189844193,0.007407407407407408
AD_0060,Video_Review,Retargeting Campaign,warm,Serum,11268,199,240507.0,170,27,0.0,0,0.017660631877884275,1208.5778894472362,0.0,0.0
AD_0061,Video_Review,Awareness Campaign,cold,Sunscreen,5504,127,390160.0,102,13,0.0,0,0.023074127906976744,3072.1259842519685,0.0,0.0
AD_0062,Static_Catalog,Awareness Campaign,cold,Serum,13316,115,228148.0,92,17,0.0,0,0.00863622709522379,1983.895652173913,0.0,0.0
AD_0063,Video_Review,Awareness Campaign,cold,Cleanser,11190,301,400557.0,249,49,708000.0,2,0.026899016979445935,1330.7541528239203,1.767538702356968,0.006644518272425249
AD_0064,Video_Review,Retargeting Campaign,warm,Serum,14114,306,111023.0,272,32,0.0,0,0.021680600821878986,362.82026143790847,0.0,0.0
AD_0065,Static_Catalog,Awareness Campaign,cold,Cleanser,10719,117,262993.0,96,9,0.0,0,0.0109151973131822,2247.803418803419,0.0,0.0
AD_0066,Video_Review,Flash Sale Campaign,cold,Serum,13132,390,307440.0,322,22,0.0,0,0.029698446542796225,788.3076923076923,0.0,0.0
AD_0067,Static_Catalog,Flash Sale Campaign,cold,Moisturizer,11804,151,307440.0,122,22,264000.0,1,0.012792273805489664,2036.0264900662253,0.8587041373926619,0.006622516556291391
AD_0068,Video_Review,Flash Sale Campaign,cold,Moisturizer,7193,232,212816.0,194,31,472000.0,2,0.03225357986931739,917.3103448275862,2.2178783550109014,0.008620689655172414
AD_0069,Video_Review,Awareness Campaign,cold,Serum,11000,269,205570.0,218,11,1012000.0,4,0.024454545454545455,764.2007434944238,4.9228973099187625,0.01486988847583643
AD_0070,Static_Catalog,Flash Sale Campaign,cold,Serum,10989,164,385718.0,143,27,360000.0,1,0.014924014924014925,2351.939024390244,0.9333243457655593,0.006097560975609756
AD_0071,Video_Review,Retargeting Campaign,warm,Sunscreen,10997,233,416076.0,200,16,0.0,0,0.021187596617259254,1785.733905579399,0.0,0.0
AD_0072,Static_Catalog,Awareness Campaign,cold,Cleanser,14239,121,289089.0,102,17,324000.0,1,0.008497787765994804,2389.1652892561983,1.1207621182404035,0.008264462809917356
AD_0073,Video_Review,Retargeting Campaign,warm,Cleanser,18229,558,273880.0,479,58,1360000.0,6,0.030610565582313894,490.82437275985666,4.965678399298963,0.010752688172043012
AD_0074,Video_Review,Flash Sale Campaign,cold,Sunscreen,17314,358,181317.0,308,60,0.0,0,0.020676908859882177,506.47206703910615,0.0,0.0
AD_0075,Static_Catalog,Retargeting Campaign,warm,Serum,17674,263,456600.0,223,37,1305000.0,5,0.014880615593527215,1736.1216730038022,2.8580814717477003,0.019011406844106463
AD_0076,Static_Catalog,Retargeting Campaign,warm,Sunscreen,11892,112,417623.0,99,16,1374000.0,4,0.009418096199125462,3728.776785714286,3.2900486802690465,0.03571428571428571
AD_0077,Static_Catalog,Awareness Campaign,cold,Serum,13269,171,243087.0,142,18,0.0,0,0.012887180646619941,1421.561403508772,0.0,0.0
AD_0078,Static_Catalog,Flash Sale Campaign,cold,Sunscreen,13031,169,487971.0,141,26,0.0,0,0.012969073747218172,2887.402366863905,0.0,0.0
AD_0079,Video_Review,Flash Sale Campaign,cold,Sunscreen,13777,287,307440.0,234,21,0.0,0,0.02083182115119402,1071.219512195122,0.0,0.0
AD_0080,Video_Review,Awareness Campaign,cold,Serum,13376,305,324301.0,255,32,0.0,0,0.022802033492822966,1063.2819672131147,0.0,0.0
AD_0081,Video_Review,Awareness Campaign,cold,Sunscreen,12240,340,359127.0,301,56,190000.0,1,0.027777777777777776,1056.2558823529412,0.5290607500967625,0.0029411764705882353
AD_0082,Static_Catalog,Awareness Campaign,cold,Moisturizer,19912,252,318803.0,206,21,0.0,0,0.012655685014061873,1265.0912698412699,0.0,0.0
AD_0083,Static_Catalog,Retargeting Campaign,warm,Serum,5364,47,246106.0,38,5,293000.0,1,0.008762117822520506,5236.297872340426,1.1905439119728898,0.02127659574468085
AD_0084,Static_Catalog,Flash Sale Campaign,cold,Sunscreen,15172,222,188869.0,189,16,2036000.0,9,0.014632217242288427,850.7612612612612,10.779958595640364,0.04054054054054054
AD_0086,Static_Catalog,Awareness Campaign,cold,Moisturizer,15258,199,486193.0,160,20,1796000.0,7,0.013042338445405689,2443.180904522613,3.694006289683315,0.035175879396984924
AD_0087,Static_Catalog,Retargeting Campaign,warm,Sunscreen,9472,102,285625.0,87,7,1899000.0,5,0.01076858108108108,2800.2450980392155,6.648577680525164,0.049019607843137254
AD_0088,Static_Catalog,Flash Sale Campaign,cold,Moisturizer,8460,77,216421.0,64,7,0.0,0,0.009101654846335697,2810.6623376623374,0.0,0.0
AD_0089,Static_Catalog,Retargeting Campaign,warm,Sunscreen,10735,159,244118.0,128,6,1744000.0,7,0.014811364694923149,1535.3333333333333,7.144086056743051,0.0440251572327044
AD_0090,Static_Catalog,Awareness Campaign,cold,Cleanser,15659,240,222883.0,192,37,1127000.0,5,0.015326649211316176,928.6791666666667,5.056464602504453,0.020833333333333332
AD_0091,Static_Catalog,Retargeting Campaign,warm,Cleanser,7846,96,344761.0,79,13,0.0,0,0.012235534030079022,3591.2604166666665,0.0,0.0
AD_0092,Static_Catalog,Retargeting Campaign,warm,Serum,7224,98,335659.0,79,11,0.0,0,0.013565891472868217,3425.091836734694,0.0,0.0
AD_0093,Static_Catalog,Retargeting Campaign,warm,Moisturizer,13988,171,382272.0,143,16,0.0,0,0.012224764083500143,2235.5087719298244,0.0,0.0
AD_0094,Static_Catalog,Awareness Campaign,cold,Sunscreen,12287,174,2839487.0,141,7,455000.0,2,0.0141613087002523,16318.8908045977,0.16024021240456462,0.011494252873563218
AD_0095,Video_Review,Awareness Campaign,cold,Sunscreen,18869,360,183524.0,317,61,992000.0,3,0.019078912501987386,509.7888888888889,5.405287591813605,0.008333333333333333
AD_0096,Static_Catalog,Retargeting Campaign,warm,Moisturizer,15162,134,236487.0,116,6,1435000.0,4,0.008837884184144572,1764.8283582089553,6.06798682380004,0.029850746268656716
AD_0097,Video_Review,Awareness Campaign,cold,Cleanser,13941,416,115524.0,366,54,594000.0,3,0.029840040169284845,277.7019230769231,5.141788719227174,0.007211538461538462
AD_0099,Static_Catalog,Flash Sale Campaign,cold,Moisturizer,9190,115,167728.0,102,10,503000.0,1,0.012513601741022852,1458.504347826087,2.9989029857865117,0.008695652173913044
AD_0100,Static_Catalog,Retargeting Campaign,warm,Moisturizer,8970,103,323810.0,88,8,1808000.0,5,0.011482720178372352,3143.78640776699,5.583521200704117,0.04854368932038835
AD_0101,Video_Review,Flash Sale Campaign,cold,Sunscreen,16446,429,151356.0,349,33,915000.0,3,0.026085370302809194,352.8111888111888,6.045350035677475,0.006993006993006993
AD_0102,Video_Review,Awareness Campaign,cold,Sunscreen,9645,272,465060.0,241,24,934000.0,3,0.028201140487299117,1709.7794117647059,2.00834300950415,0.011029411764705883
AD_0103,Video_Review,Retargeting Campaign,warm,Moisturizer,13359,354,491182.0,311,22,0.0,0,0.026498989445317762,1387.5197740112994,0.0,0.0
AD_0104,Static_Catalog,Flash Sale Campaign,cold,Cleanser,7094,90,437827.0,76,6,994000.0,3,0.012686777558500142,4864.7444444444445,2.2703031105893423,0.03333333333333333
AD_0105,Video_Review,Awareness Campaign,cold,Cleanser,17789,371,155318.0,313,60,0.0,0,0.020855584912024286,418.6469002695418,0.0,0.0
AD_0106,Static_Catalog,Retargeting Campaign,warm,Moisturizer,12790,174,389450.0,155,20,1370000.0,4,0.013604378420641126,2238.2183908045977,3.5177814867120296,0.022988505747126436
AD_0107,Video_Review,Awareness Campaign,cold,Cleanser,18248,477,209945.0,384,23,0.0,0,0.02613985094256905,440.1362683438155,0.0,0.0
AD_0108,Video_Review,Retargeting Campaign,warm,Cleanser,8792,168,232717.0,137,24,1301000.0,4,0.01910828025477707,1385.220238095238,5.590481142331673,0.023809523809523808
AD_0109,Static_Catalog,Awareness Campaign,cold,Sunscreen,9708,108,157545.0,95,4,0.0,0,0.011124845488257108,1458.75,0.0,0.0
AD_0110,Video_Review,Awareness Campaign,cold,Sunscreen,17314,542,108070.0,452,72,0.0,0,0.031304146933117706,199.39114391143912,0.0,0.0
AD_0111,Video_Review,Awareness Campaign,cold,Cleanser,6205,125,429670.0,102,5,0.0,0,0.020145044319097503,3437.36,0.0,0.0
AD_0112,Video_Review,Awareness Campaign,cold,Moisturizer,7713,136,466036.0,115,22,0.0,0,0.017632568391028135,3426.735294117647,0.0,0.0
AD_0113,Static_Catalog,Awareness Campaign,cold,Moisturizer,12182,189,251878.0,162,9,978000.0,4,0.015514693810540141,1332.6878306878307,3.8828321647781863,0.021164021164021163
AD_0114,Video_Review,Flash Sale Campaign,cold,Sunscreen,7717,157,317516.0,131,22,345000.0,1,0.02034469353375664,2022.3949044585988,1.0865594174781743,0.006369426751592357
AD_0115,Video_Review,Flash Sale Campaign,cold,Serum,11645,280,126737.0,237,39,658000.0,2,0.024044654358093602,452.63214285714287,5.191853996859638,0.007142857142857143
AD_0116,Video_Review,Awareness Campaign,cold,Cleanser,11873,255,437773.0,217,36,310000.0,2,0.02147730144024257,1716.756862745098,0.7081295557286539,0.00784313725490196
AD_0117,Static_Catalog,Flash Sale Campaign,cold,Cleanser,18271,157,307606.0,129,10,0.0,0,0.008592852060642548,1959.2738853503186,0.0,0.0
AD_0118,Static_Catalog,Flash Sale Campaign,cold,Moisturizer,10300,99,255232.0,84,13,0.0,0,0.009611650485436893,2578.10101010101,0.0,0.0
AD_0119,Static_Catalog,Flash Sale Campaign,cold,Cleanser,7538,115,416915.0,99,7,0.0,0,0.015256036083841868,3625.3478260869565,0.0,0.0
AD_0120,Static_Catalog,Flash Sale Campaign,cold,Sunscreen,7198,104,267292.0,92,13,624000.0,2,0.014448457904973604,2570.1153846153848,2.3345255376142946,0.019230769230769232
AD_0121,Video_Review,Retargeting Campaign,warm,Serum,10594,226,330785.0,189,10,139000.0,1,0.021332829903719087,1463.6504424778761,0.42021252475172693,0.004424778761061947
AD_0122,Static_Catalog,Awareness Campaign,cold,Moisturizer,14083,140,357529.0,122,8,767000.0,2,0.009941063693815238,2553.7785714285715,2.145280522698858,0.014285714285714285
AD_0123,Static_Catalog,Retargeting Campaign,warm,Serum,11223,108,259601.0,86,7,439000.0,2,0.009623095429029671,2403.712962962963,1.6910566600282742,0.018518518518518517
AD_0124,Video_Review,Retargeting Campaign,warm,Moisturizer,8301,249,216739.0,202,37,436000.0,1,0.029996385977593062,870.437751004016,2.011636115327652,0.004016064257028112
AD_0125,Video_Review,Retargeting Campaign,warm,Sunscreen,17367,334,288456.0,276,36,0.0,0,0.019231876547475095,863.6407185628742,0.0,0.0
AD_0126,Static_Catalog,Awareness Campaign,cold,Serum,15041,141,151226.0,125,22,258000.0,1,0.009374376703676617,1072.5248226950355,1.7060558369592531,0.0070921985815602835
AD_0127,Video_Review,Retargeting Campaign,warm,Cleanser,14900,448,463476.0,375,47,1179000.0,4,0.03006711409395973,1034.544642857143,2.543821039277115,0.008928571428571428
AD_0128,Static_Catalog,Retargeting Campaign,warm,Cleanser,11788,150,153276.0,125,11,927000.0,2,0.012724804886325077,1021.84,6.047913567681829,0.013333333333333334
AD_0129,Video_Review,Awareness Campaign,cold,Sunscreen,9150,251,366997.0,204,25,525000.0,1,0.027431693989071037,1462.1394422310757,1.4305294048725195,0.00398406374501992
AD_0130,Video_Review,Retargeting Campaign,warm,Cleanser,12101,385,138890.0,320,53,601000.0,3,0.03181555243368317,360.75324675324674,4.327165382676939,0.007792207792207792
AD_0131,Video_Review,Awareness Campaign,cold,Moisturizer,8240,231,183559.0,194,16,1341000.0,5,0.028033980582524272,794.6277056277056,7.305552982964605,0.021645021645021644
AD_0132,Video_Review,Flash Sale Campaign,cold,Serum,10549,185,385195.0,154,9,207000.0,1,0.017537207318229216,2082.135135135135,0.5373901530393697,0.005405405405405406
AD_0133,Video_Review,Flash Sale Campaign,cold,Moisturizer,19086,483,251563.0,412,74,303000.0,1,0.025306507387613957,520.8343685300207,1.2044696557124854,0.002070393374741201
AD_0134,Video_Review,Flash Sale Campaign,cold,Moisturizer,14119,426,246968.0,379,55,366000.0,2,0.03017210850626815,579.7370892018779,1.4819733730685758,0.004694835680751174
AD_0135,Video_Review,Flash Sale Campaign,cold,Serum,9873,259,469040.0,211,28,0.0,0,0.02623316114656133,1810.965250965251,0.0,0.0
AD_0136,Static_Catalog,Retargeting Campaign,warm,Sunscreen,11232,109,304615.0,97,18,1031000.0,4,0.009704415954415955,2794.6330275229357,3.3846002330811022,0.03669724770642202
AD_0137,Static_Catalog,Retargeting Campaign,warm,Sunscreen,16374,180,135435.0,146,8,2335000.0,8,0.010993037742762916,752.4166666666666,17.240742791745117,0.044444444444444446
AD_0138,Static_Catalog,Awareness Campaign,cold,Sunscreen,13230,141,368784.0,120,17,0.0,0,0.010657596371882086,2615.4893617021276,0.0,0.0
AD_0139,Video_Review,Awareness Campaign,cold,Serum,16323,342,223618.0,303,16,476000.0,1,0.02095203087667708,653.8538011695906,2.1286300745020528,0.0029239766081871343
AD_0140,Video_Review,Flash Sale Campaign,cold,Moisturizer,8810,163,469453.0,136,22,0.0,0,0.018501702610669694,2880.079754601227,0.0,0.0
AD_0141,Video_Review,Awareness Campaign,cold,Serum,10511,226,464809.0,182,18,0.0,0,0.02150128436875654,2056.6769911504425,0.0,0.0
AD_0142,Static_Catalog,Awareness Campaign,cold,Moisturizer,8165,86,265873.0,71,6,153000.0,1,0.010532761788120024,3091.546511627907,0.5754627209231475,0.011627906976744186
AD_0143,Video_Review,Awareness Campaign,cold,Cleanser,15056,416,143001.0,365,32,65000.0,1,0.02763018065887354,343.75240384615387,0.45454227592814034,0.002403846153846154
AD_0144,Static_Catalog,Retargeting Campaign,warm,Sunscreen,15202,226,311169.0,184,36,0.0,0,0.01486646493882384,1376.853982300885,0.0,0.0
AD_0145,Static_Catalog,Flash Sale Campaign,cold,Cleanser,16076,231,439273.0,185,19,777000.0,3,0.014369246081114706,1901.6147186147186,1.7688316832584747,0.012987012987012988
AD_0146,Static_Catalog,Awareness Campaign,cold,Moisturizer,6796,87,166262.0,77,14,503000.0,1,0.012801648028251914,1911.057471264368,3.0253455389686157,0.011494252873563218
AD_0147,Video_Review,Retargeting Campaign,warm,Moisturizer,14312,283,259903.0,239,34,553000.0,2,0.019773616545556177,918.3851590106007,2.127716878989469,0.007067137809187279
AD_0148,Video_Review,Awareness Campaign,cold,Sunscreen,6380,120,183560.0,100,9,355000.0,1,0.018808777429467086,1529.6666666666667,1.9339725430376988,0.008333333333333333
AD_0149,Video_Review,Awareness Campaign,cold,Moisturizer,19808,444,404664.0,379,23,0.0,0,0.02241518578352181,911.4054054054054,0.0,0.0
AD_0150,Static_Catalog,Flash Sale Campaign,cold,Serum,16105,144,488411.0,116,21,825000.0,3,0.008941322570630239,3391.7430555555557,1.6891511452444765,0.020833333333333332
AD_0151,Static_Catalog,Awareness Campaign,cold,Moisturizer,7317,92,228322.0,76,11,456000.0,2,0.012573459067924012,2481.7608695652175,1.9971794220443058,0.021739130434782608
AD_0152,Video_Review,Flash Sale Campaign,cold,Moisturizer,14314,436,307440.0,385,69,871000.0,4,0.030459689814167946,705.1376146788991,2.833073119958366,0.009174311926605505
AD_0153,Video_Review,Awareness Campaign,cold,Moisturizer,19643,526,233541.0,430,78,998000.0,3,0.026777987069184953,443.9942965779468,4.273339584912285,0.005703422053231939
AD_0154,Video_Review,Awareness Campaign,cold,Serum,14561,433,142534.0,353,60,0.0,0,0.02973696861479294,329.17782909930713,0.0,0.0
AD_0155,Video_Review,Retargeting Campaign,warm,Moisturizer,12343,231,175418.0,207,29,321000.0,1,0.018715061168273515,759.3852813852814,1.829914832001277,0.004329004329004329
AD_0156,Static_Catalog,Flash Sale Campaign,cold,Serum,6007,55,278589.0,44,5,494000.0,1,0.009155984684534709,5065.254545454545,1.7732214839781901,0.01818181818181818
AD_0157,Static_Catalog,Retargeting Campaign,warm,Sunscreen,17276,157,303667.0,136,8,0.0,0,0.009087751794396852,1934.1847133757963,0.0,0.0
AD_0158,Video_Review,Flash Sale Campaign,cold,Cleanser,15073,370,353973.0,318,18,1102000.0,3,0.02454720360910237,956.6837837837838,3.1132318001655492,0.008108108108108109
AD_0159,Static_Catalog,Retargeting Campaign,warm,Serum,13954,130,462876.0,108,6,853000.0,4,0.009316325068080836,3560.5846153846155,1.8428261564652304,0.03076923076923077
AD_0160,Video_Review,Awareness Campaign,cold,Serum,17698,491,111745.0,406,81,0.0,0,0.02774324782461295,227.5865580448065,0.0,0.0
AD_0161,Video_Review,Awareness Campaign,cold,Sunscreen,9844,274,385555.0,242,40,151000.0,1,0.02783421373425437,1407.1350364963503,0.39164321562423,0.0036496350364963502
AD_0162,Video_Review,Retargeting Campaign,warm,Sunscreen,18703,448,153268.0,399,71,0.0,0,0.02395337646366893,342.11607142857144,0.0,0.0
AD_0163,Video_Review,Retargeting Campaign,warm,Sunscreen,7933,166,495196.0,136,24,936000.0,4,0.02092524896004034,2983.10843373494,1.8901606636564108,0.024096385542168676
AD_0164,Static_Catalog,Retargeting Campaign,warm,Sunscreen,12179,118,498992.0,95,6,435000.0,1,0.009688808604975778,4228.745762711865,0.8717574630454997,0.00847457627118644
AD_0165,Static_Catalog,Flash Sale Campaign,cold,Serum,7959,83,498871.0,74,10,169000.0,1,0.010428445784646313,6010.493975903614,0.33876493121468276,0.012048192771084338
AD_0166,Video_Review,Retargeting Campaign,warm,Sunscreen,18536,493,134531.0,421,35,0.0,0,0.026596892533448425,272.88235294117646,0.0,0.0
AD_0167,Static_Catalog,Flash Sale Campaign,cold,Serum,7583,80,307440.0,65,7,483000.0,3,0.01054991428194646,3843.0,1.5710382513661203,0.0375
